"Câmara dos Deputados"
"Relatório de Proposições"
"Resultado da Pesquisa"
"Proposições";"Ementa";"Explicação";"Autor";"UF";"Partido";"Apresentação";"Situação";"Link"
"PL 2778/2024";"Dispõe sobre prerrogativas para atuação da Justiça Eleitoral no combate à desinformação, alteração da data limite para aferição da idade mínima para assunção de cargos eletivos e permite o uso da astreintes como medida coercitiva da magistratura eleitoral.";"";"Doutor Luizinho";"RJ";"PP";"08/07/2024";"Aguardando Designação de Relator(a)";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2447204"
"PL 2306/2024";"Altera o Código Penal para tornar crime a disseminação de informações comprovadamente falsas, por quaisquer meios, em situações de reconhecida calamidade pública.
";"";"Alexandre Lindenmeyer";"RS";"PT";"11/06/2024";"Tramitando em Conjunto";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2439805"
"PL 2167/2024";"Altera a Lei nº 12.842, de 10 de julho de 2013, para estabelecer a obrigatoriedade de supervisão médica na produção e divulgação de conteúdos de saúde nos meios de comunicação, incluindo em aplicações de internet.
";"";"Duda Ramos";"RR";"MDB";"04/06/2024";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2437741"
"PL 1108/2024";"Institui a Semana Nacional de Enfrentamento às Parasitoses Intestinais, no período que inclua o dia 25 de junho.";"";"Guilherme Boulos";"SP";"PSOL";"08/04/2024";"Pronta para Pauta";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2424803"
"PL 1790/2024";"Altera o Decreto-Lei nº 2848, de 7 de dezembro de 1940 – Código Penal, para tipificar a disseminação de informação falsa em situação de calamidade pública e dá outras providências.";"";"Helder Salomão";"ES";"PT";"13/05/2024";"Aguardando Designação de Relator(a)";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2433100"
"PL 2576/2024";"Dispõe sobre a distribuição obrigatória de cartilhas informativas sobre bebês intersexos nas maternidades públicas e privadas em todo o território nacional
";"";"Clodoaldo Magalhães";"PE";"PV";"26/06/2024";"Aguardando Designação de Relator(a)";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2443371"
"PL 2051/2024";"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal) e a Lei nº 12.965, de 23 de abril de 2014 (Marco Civil da Internet), para criminalizar a produção, divulgação ou compartilhamento de notícia falsa (fake news) que objetive alterar, distorcer ou corromper gravemente a verdade sobre tema relacionado à saúde, à educação, ao meio ambiente, à segurança pública, à economia nacional ou a outro interesse público relevante.

";"";"Erika Kokay";"DF";"PT";"24/05/2024";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2436470"
"PL 2733/2024";"Altera a Lei nº 12.608, de 10 de abril de 2012, que institui a Política Nacional de Proteção e Defesa Civil (PNPDEC), para garantir a segurança sanitária e alimentar dos atingidos e combater a divulgação de informações inverídicas relativas a desastres.
";"";"Patrus Ananias";"MG";"PT";"04/07/2024";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2446538"
"PL 1961/2024";"Modifica a Lei nº 9.612, de 19 de fevereiro de 1998 (Lei da Radiodifusão Comunitária) e a Lei nº 4.117, de 27 de agosto de 1962 para estabelecer prazos mínimos para a conservação em arquivo da programação diária pelas emissoras do serviço de radiodifusão.
";"";"Fábio Teruel";"SP";"MDB";"21/05/2024";"Tramitando em Conjunto";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2435154"
"PL 683/2024";"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, para tipificar a conduta de disseminação de notícias falsas sobre a eficácia e segurança das vacinas.";"";"Rafael Brito";"AL";"MDB";"11/03/2024";"Tramitando em Conjunto";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2420081"
